status,tec_manufacturer_id,tec_manufacturer_name,cc_brand_slug,cc_brand_display,cc_model_slug,cc_model_display,tec_model_id,tec_model_name,notes
pending,2,ALFA ROMEO,alfa_romeo,Alfa Romeo,156,Alfa Romeo 156,4635,156 Sportwagon (932_),
pending,2,ALFA ROMEO,alfa_romeo,Alfa Romeo,giulia,Alfa Romeo Giulia,36486,GIULIA (952_),
pending,2,ALFA ROMEO,alfa_romeo,Alfa Romeo,giulietta_veloce,Alfa Romeo Giulietta veloce,8603,GIULIETTA (940_),
pending,2,ALFA ROMEO,alfa_romeo,Alfa Romeo,mito,Alfa Romeo Mito,7587,MITO (955_),
pending,2,ALFA ROMEO,alfa_romeo,Alfa Romeo,stelvio,Alfa Romeo Stelvio,37292,STELVIO (949_),
pending,2,ALFA ROMEO,alfa_romeo,Alfa Romeo,tonale,Alfa Romeo Tonale,42679,TONALE (965_),
pending,5891,ARCFOX,arcfox,Arcfox,koala_s,Arcfox KOALA S,45784,KAOLA S,
pending,881,ASTON MARTIN,aston_martin,Aston Martin,dbx,Aston Martin DBX,40521,DBX,
pending,5,AUDI,audi,Audi,a3,Audi A3,45351,A3 Allstreet (8YJ),
pending,5,AUDI,audi,Audi,a4,Audi A4,14695,"A4 B9 (8W2, 8WC)",
pending,5,AUDI,audi,Audi,a5,Audi A5,45725,A5 (FU2),
pending,5,AUDI,audi,Audi,a6,Audi A6,38843,A6 C8 (4A2),
pending,5,AUDI,audi,Audi,e_tron,Audi E Tron,39213,E-TRON (GEN),
pending,5,AUDI,audi,Audi,q8_e_tron,Audi Q8 e-tron,39213,E-TRON (GEN),
pending,5,AUDI,audi,Audi,rs_e_tron_gt,Audi RS e-tron GT,39213,E-TRON (GEN),
pending,5,AUDI,audi,Audi,q2,Audi Q2,36543,"Q2 (GAB, GAG)",
pending,5,AUDI,audi,Audi,q3,Audi Q3,38997,Q3 (F3B),
pending,5,AUDI,audi,Audi,q4_e_tron,Audi Q4 e Tron,41930,Q4 SUV (F4B),
pending,5,AUDI,audi,Audi,q5,Audi Q5,45817,Q5 (GUB),
pending,5,AUDI,audi,Audi,q6_e_tron,Audi Q6 e-tron,45332,Q6 (GFB),
pending,5,AUDI,audi,Audi,q7,Audi Q7,41522,"Q7 Van (4MB, 4MG)",
pending,5,AUDI,audi,Audi,q8,Audi Q8,38836,"Q8 (4MN, 4MT)",
pending,6622,AVATR,avatr,Avatr,07,Avatr 07,45937,07,
pending,6622,AVATR,avatr,Avatr,11,Avatr 11,43526,11,
pending,6622,AVATR,avatr,Avatr,12,Avatr 12,44919,12,
pending,3773,BAIC,baic,BAIC,bj30,BAIC BJ30,46224,BJ30,
pending,3773,BAIC,baic,BAIC,u5_plus,BAIC U5 Plus,37697,PLUS,
pending,3773,BAIC,senova,Senova,x35,Senova X35,42481,X35,
pending,3773,BAIC,baic,BAIC,x3,BAIC X3,42481,X35,
pending,3773,BAIC,baic,BAIC,x35,BAIC X35,42481,X35,
pending,3773,BAIC,baic,BAIC,x_55,BAIC X 55,45492,X55,
pending,3773,BAIC,baic,BAIC,x7,BAIC X7,45469,X75,
pending,815,BENTLEY,bentley,Bentley,bentiaga,Bentley Bentiaga,14812,BENTAYGA (4V1),
pending,815,BENTLEY,bentley,Bentley,continental_gt,Bentley Continental GT,46110,CONTINENTAL,
pending,815,BENTLEY,bentley,Bentley,flying_spur,Bentley Flying spur,11490,FLYING SPUR (4W_),
pending,5510,BESTUNE,bestune,Bestune,b70,Bestune B70,45032,B70,
pending,5510,BESTUNE,bestune,Bestune,t55,Bestune T55,41841,T55,
pending,5510,BESTUNE,bestune,Bestune,t77,Bestune T77,40303,T77,
pending,16,BMW,bmw,BMW,420i_convertible,BMW 420i Convertible,41276,"4 Convertible (G23, G83)",
pending,16,BMW,bmw,BMW,430i_convertible,BMW 430i Convertible,41276,"4 Convertible (G23, G83)",
pending,16,BMW,bmw,BMW,440i_coupe,BMW 440i Coupe,40742,"4 Coupe (G22, G82)",
pending,16,BMW,bmw,BMW,420i_gran_coupe,BMW 420i Gran Coupe,42096,4 Gran Coupe (G26),
pending,16,BMW,bmw,BMW,430i_gran_coupe,BMW 430i Gran Coupe,42096,4 Gran Coupe (G26),
pending,16,BMW,bmw,BMW,5_series,BMW 5 Series,37157,"5 (G30, F90)",
pending,16,BMW,bmw,BMW,i3,BMW i3,11443,i3 (I01),
pending,16,BMW,bmw,BMW,i3_sedan,BMW i3 sedan,11443,i3 (I01),
pending,16,BMW,bmw,BMW,i4,BMW i4,42095,i4 (G26),
pending,16,BMW,bmw,BMW,ix,BMW iX,41979,iX (I20),
pending,16,BMW,bmw,BMW,ix3,BMW iX3,41979,iX (I20),
pending,16,BMW,bmw,BMW,ix1,BMW iX1,43036,X1 (U11),
